src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.189,45.54.49.5,62893,443,IP,0.0,1,54,0.0,54.0,0,54,0.0,0.0,0.0,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.009093046188354492,8,6303,5545336.398332416,787.875,0,1494,0.0,0.001299006598336356,0.002411337887427426,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,9.298324584960938e-05,8,10336,889278485.0051283,1292.0,0,1292,0.0,1.3283320835658482e-05,7.176844564746272e-07,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,9.703636169433594e-05,8,10336,852134174.8206388,1292.0,0,1292,0.0,1.3862337384905135e-05,2.0486904201265835e-06,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.006246089935302734,8,9111,11669380.48522788,1138.875,0,1292,0.0,0.0008922985621861049,0.001919690807122603,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.007605791091918945,8,7889,8297887.653929343,986.125,0,1292,0.0,0.0010865415845598494,0.0011974604454702514,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.01185297966003418,8,7885,5321868.577290556,985.625,0,1292,0.0,0.0016932828085763113,0.0014342410958856867,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.010838985443115234,8,7886,5820470.959306674,985.75,0,1292,0.0,0.0015484264918736049,0.0015970366622694366,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.006800174713134766,8,6541,7695096.406703597,817.625,0,1494,0.0,0.0009714535304478236,0.0015468512307379818,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.003715038299560547,8,6564,14134982.136311129,820.5,0,1494,0.0,0.0005307197570800781,0.0012291830258547751,1.0,HTTPS
